word,meaning,sentence,relative
dispute,論争する、論じる、に異議を唱える,Archaeologist have long disputed what triggered the “Neolithic Revolution”.,important
pivotal,ピボットの（ような）、中枢の、中心的な、極めて重要な,“Neolithic Revolution” is a pivotal period in archaeology.,
overestimate,過大評価する、過大評価,,
draw out,(1)引き出す<of>(2)誘い出す<of>(3)引き伸ばす、長引かせる,long drawn-out transformation,
dawn,夜明け、曙、始まり,,
procure,手に入れる,,"get,obtain"
get a hold of,をつかむ、把握する、掌握する,,get
get one's hands on,を手に入れる,,get
contend,（強く）主張する,,say
ponder,じっくり考える,,think about
apprehend,感づく、理解する,,find
inspect,検査する、調べる,,check
scrutinize,細かく調べる,,check
probe,厳密に調べる、探針(プローブ）,,check
pore over,熟読する、詳細に調べる,,check
aid,手助けする,,help
lend a hand,,,help
reside in,住む、居住する,,live in
detrimental,有害な、不利益な,,bad
deleterious,有害な,,bad
imperative,避けられない、緊急の,,important
weighty,重い、重要な,,important
predominantly,大部分は、主に,,mostly
immense,広大な、巨大な,,
swiftly,迅速に、速く,,fast
in the blink of an eye,瞬時に、瞬く間に,,fast
in a flash,,,fast
exorbitant,（欲望、要求、値段が）法外な、過大な,,expensive
aesthetically pleasing,,,attracting
agreeable,快い、愉快な,,enjoyable
thigh[θάɪ],太もも,,
knee,ひざ,,
calf,ふくらはぎ,,
shin,すね,,
ankle,足首,,
toe,足の指,,
sole,足の裏,,
cartilage,軟骨,,
ligament,靱帯,,
tendon,腱,,
botany,植物学,,
zoology,動物学,,
Early Republic,建国期,,
Post-Civil war,南北戦争,,
